era,task_id,classification,status,created_at,completed_at,latency_min,dispatch_or_retry
wg-era,t_920df29a59c8,work,done,2026-05-18T18:33:22.842588531+00:00,2026-05-18T19:40:36.116016250+00:00,67.2,1
wg-era,t_f4f9384a7d5c,work,done,2026-05-18T18:33:37.438845240+00:00,2026-05-18T19:50:06.023010779+00:00,76.5,1
wg-era,t_4a87b866079e,work,done,2026-05-18T18:33:56.490673660+00:00,2026-05-18T20:02:24.435309460+00:00,88.5,1
wg-era,t_e727e9ae4022,work,done,2026-05-18T21:58:31.449631565+00:00,2026-05-18T22:11:24.254134904+00:00,12.9,1
wg-era,t_154a47258096,work,done,2026-05-19T00:14:51.328513276+00:00,2026-05-19T00:29:43.849277580+00:00,14.9,1
wg-era,t_6849bef959d3,work,done,2026-05-19T00:14:28.903772390+00:00,2026-05-19T00:29:59.041985981+00:00,15.5,1
wg-era,t_9b2d5364189c,work,done,2026-05-19T00:15:01.617583477+00:00,2026-05-19T00:38:29.616623574+00:00,23.5,1
wg-era,t_81e1ad96150d,work,done,2026-05-19T00:15:14.623423535+00:00,2026-05-19T00:47:50.889997590+00:00,32.6,1
wg-era,t_99b6a7cb190e,work,done,2026-05-19T00:56:45.862315948+00:00,2026-05-19T01:02:12.900738686+00:00,5.5,1
wg-era,t_5f37b7ca5bb9,work,done,2026-05-19T00:56:55.861634727+00:00,2026-05-19T01:10:40.221469541+00:00,13.7,1
wg-era,t_28c65f20de10,work,done,2026-05-19T02:46:08.787115868+00:00,2026-05-19T03:15:04.179972028+00:00,28.9,1
wg-era,t_31c9ad208c9a,governance,done,2026-05-19T02:48:22.153368780+00:00,2026-05-19T03:26:43.009704190+00:00,38.3,1
wg-era,t_ce9419327b90,work,done,2026-05-19T02:46:18.274051788+00:00,2026-05-19T03:37:30.064121287+00:00,51.2,1
wg-era,t_a44cf9887b14,work,abandoned,2026-05-19T11:48:03.420699166+00:00,,,1
wg-era,t_a5724bef5e57,work,done,2026-05-19T11:47:54.481242605+00:00,2026-05-19T11:54:13.221266478+00:00,6.3,1
wg-era,t_2572c94c41c5,work,done,2026-05-19T12:02:37.384771502+00:00,2026-05-19T12:12:52.802960771+00:00,10.3,1
wg-era,t_b78a308fa1fb,work,done,2026-05-19T12:02:41.143509979+00:00,2026-05-19T12:14:36.148548917+00:00,11.9,1
wg-era,t_46919630f627,work,done,2026-05-19T12:02:29.867740550+00:00,2026-05-19T12:15:57.948184335+00:00,13.5,1
wg-era,t_26f6874b14af,work,done,2026-05-19T12:02:33.879095720+00:00,2026-05-19T12:18:01.900752379+00:00,15.5,1
wg-era,t_745501e35b27,work,done,2026-05-19T12:02:26.338712103+00:00,2026-05-19T12:29:57.511049191+00:00,27.5,3
wg-era,t_493ef0aae594,work,done,2026-05-19T12:03:04.122025702+00:00,2026-05-19T12:37:54.806970639+00:00,34.8,1
wg-era,t_6c43f90e7d95,work,done,2026-05-19T12:36:21.304165661+00:00,2026-05-19T12:45:47.826965207+00:00,9.4,1
wg-era,t_1f2f49cffd93,work,done,2026-05-19T12:34:25.418016877+00:00,2026-05-19T12:47:41.036106129+00:00,13.3,1
wg-era,t_f3d685f0350e,work,done,2026-05-19T12:37:03.500893170+00:00,2026-05-19T12:48:28.172509927+00:00,11.4,1
wg-era,t_567732537244,work,done,2026-05-19T12:35:47.449590829+00:00,2026-05-19T12:51:16.053242042+00:00,15.5,1
